{ a | a }  
{ os | oś }  
{ osiagnac | osiągnąć }  
{ osiem | osiem }  
{ osiemdziesiat | osiemdziesiąt }  
{ osiol | osioł }  
{ osmy | ósmy }  
{ osoba | osoba }  
{ osobiscie | osobiście }  
{ osobisty | osobisty }  
{ osrodek | ośrodek }  
{ ostatecznie | ostatecznie }  
{ ostatni | ostatni }  
{ ostatnio | ostatnio }  
{ ostro | ostro }  
{ ostroznie | ostrożnie }  
{ ostry | ostry }  
{ otaczac | otaczać }  
{ oto | oto }  
{ otoczenie | otoczenie }  
{ otoz | otóż }  
{ otrzymac | otrzymać }  
{ otrzymywac | otrzymywać }  
{ otwarcie | otwarcie }  
{ otwarty | otwarty }  
{ otwierac | otwierać }  
{ otwor | otwór }  
{ otworzyc | otworzyć }  
{ ow | ów }  
{ owad | owad }  
{ owca | owca }  
{ owo | owo }  
{ owoc | owoc }  
{ owszem | owszem }  
{ ozdoba | ozdoba }  
{ ozdobny | ozdobny }  
{ oznaczac | oznaczać }  
{ pacjent | pacjent }  
{ padac | padać }  
{ pajak | pająk }  
{ palac | palić }  
{ palec | palec }  
{ palic | palić }  
{ paliwo | paliwo }  
{ pamiec | pamięć }  
{ pamietac | pamiętać }  
{ pan | pan }  
{ pani | pani }  
{ panna | panna }  
{ panowac | panować }  
{ panstwo | państwo }  
{ panstwowy | państwowy }  
{ papier | papier }  
{ papieros | papieros }  
{ papiez | papież }  
{ para | para }  
{ park | park }  
{ parlament | parlament }  
{ partia | partia }  
{ pas | pas }  
{ pasek | pasek }  
{ pasmo | pasmo }  
{ pat | pat }  
{ patrzec | patrzeć }  
{ pazdziernik | październik }  
{ pelen | pełen }  
{ pelnic | pełnić }  
{ pelny | pełny }  
{ penis | penis }  
{ pewien | pewien }  
{ pewnie | pewnie }  
{ pewno | pewno }  
{ pewnosc | pewność }  
{ pewny | pewny }  
{ piasek | piasek }  
{ piatek | piątek }  
{ piaty | piąty }  
{ pic | pić }  
{ piec | pięć }  
{ piecdziesiat | pięćdziesiąt }  
{ pieknie | pięknie }  
{ piekny | piękny }  
{ pieniadz | pieniądz }  
{ pieniadze | pieniądze }  
{ piers | pierś }  
{ pierwiastek | pierwiastek }  
{ pierwszy | pierwszy }  
{ pies | pies }  
{ piesn | pieśń }  
{ pietnascie | piętnaście }  
{ pietro | piętro }  
{ pijany | pijany }  
{ pilka | piłka }  
{ pioro | pióro }  
{ piosenka | piosenka }  
{ piotr | Piotr }  
{ pisac | pisać }  
{ pisanie | pisanie }  
{ pisarz | pisarz }  
{ pismo | pismo }  
{ pistolet | pistolet }  
{ piwo | piwo }  
{ plac | plac }  
{ placic | płacić }  
{ plakac | płakać }  
{ plama | plama }  
{ plan | plan }  
{ planeta | planeta }  
{ plaski | płaski }  
{ plaszcz | płaszcz }  
{ plaza | plaża }  
{ plec | płeć }  
{ plecy | plecy }  
{ plemie | plemię }  
{ plyn | płyn }  
{ plynac | płynąć }  
{ plyta | płyta }  
{ plywac | pływać }  
{ po | po }  
{ pochodzenie | pochodzenie }  
{ pochodzic | pochodzić }  
{ pociag | pociąg }  
{ poczatek | początek }  
{ poczatkowo | początkowo }  
{ poczta | poczta }  
{ poczucie | poczucie }  
{ pod | pod }  
{ podac | podać }  
{ podatek | podatek }  
{ podawac | podawać }  
{ podczas | podczas }  
{ podloga | podłoga }  
{ podniesc | podnieść }  
{ podnosic | podnosić }  
{ podobnie | podobnie }  
{ podobno | podobno }  
{ podobny | podobny }  
{ podroz | podróż }  
{ podrozowac | podróżować }  
{ podstawa | podstawa }  
{ podstawowy | podstawowy }  
{ poduszka | poduszka }  
{ podzial | podział }  
{ poeta | poeta }  
{ poglad | pogląd }  
{ pogoda | pogoda }  
{ pojawiac | pojawiać }  
{ pojawic | pojawić }  
{ pojazd | pojazd }  
{ pojechac | pojechać }  
{ pojecie | pojęcie }  
{ pojedynczy | pojedynczy }  
{ pojemnik | pojemnik }  
{ pojsc | pójść }  
{ pokarm | pokarm }  
{ pokazac | pokazać }  
{ pokazywac | pokazywać }  
{ poki | póki }  
{ poklad | pokład }  
{ pokoj | pokój }  
{ pokonac | pokonać }  
{ pokryc | pokryć }  
{ pol | pól }  
{ polaczenie | połączenie }  
{ polaczyc | połączyć }  
{ polak | Polak }  
{ pole | pole }  
{ polegac | polegać }  
{ policja | policja }  
{ policjant | policjant }  
{ policzek | policzek }  
{ polityczny | polityczny }  
{ polityk | polityk }  
{ polityka | polityka }  
{ polnoc | północ }  
{ polnocny | północny }  
{ polowa | połowa }  
{ polowac | polować }  
{ polozenie | położenie }  
{ polozony | położony }  
{ polozyc | położyć }  
{ polska | Polska }  
{ polski | polski }  
{ poludnie | południe }  
{ poludniowy | południowy }  
{ polwysep | półwysep }  
{ pomagac | pomagać }  
{ pomarancza | pomarańcza }  
{ pomaranczowy | pomarańczowy }  
{ pomidor | pomidor }  
{ pomiedzy | pomiędzy }  
{ pomieszczenie | pomieszczenie }  
{ pomimo | pomimo }  
{ pomoc | pomoc }  
{ pomoca | pomocą }  
{ pomocy | pomocy }  
{ pomysl | pomysł }  
{ pomyslec | pomyśleć }  
{ ponad | ponad }  
{ ponadto | ponadto }  
{ poniedzialek | poniedziałek }  
{ poniewaz | ponieważ }  
{ ponownie | ponownie }  
{ ponuro | ponuro }  
{ poprzedni | poprzedni }  
{ poprzez | poprzez }  
{ popularny | popularny }  
{ pora | pora }  
{ poradzic | poradzić }  
{ porozmawiac | porozmawiać }  
{ port | port }  
{ porucznik | porucznik }  
{ poruszac | poruszać }  
{ porzadek | porządek }  
{ posiadac | posiadać }  
{ posilek | posiłek }  
{ poslugiwac | posługiwać }  
{ pospiesznie | pospiesznie }  
{ posrod | pośród }  
{ posrodku | pośrodku }  
{ postac | postać }  
{ postaci | postaci }  
{ postawa | postawa }  
{ postawic | postawić }  
{ postepowac | postępować }  
{ postepowanie | postępowanie }  
{ potem | potem }  
{ potezny | potężny }  
{ potrafic | potrafić }  
{ potrawa | potrawa }  
{ potrzeba | potrzeba }  
{ potrzebny | potrzebny }  
{ potrzebowac | potrzebować }  
{ powaznie | poważnie }  
{ powazny | poważny }  
{ powiat | powiat }  
{ powiedzial | powiedział }  
{ powiedziec | powiedzieć }  
{ powierzchnia | powierzchnia }  
{ powiesc | powieść }  
{ powietrze | powietrze }  
{ powinien | powinien }  
{ powod | powód }  
{ powodowac | powodować }  
{ powodu | powodu }  
{ powoli | powoli }  
{ powolny | powolny }  
{ powrot | powrót }  
{ powstac | powstać }  
{ powstanie | powstanie }  
{ powstawac | powstawać }  
{ powstrzymac | powstrzymać }  
{ powszechny | powszechny }  
{ poza | poza }  
{ pozar | pożar }  
{ pozbawic | pozbawić }  
{ pozbyc | pozbyć }  
{ poziom | poziom }  
{ poznac | poznać }  
{ pozno | późno }  
{ pozny | późny }  
{ pozostac | pozostać }  
{ pozostawac | pozostawać }  
{ pozwalac | pozwalać }  
{ pozwolic | pozwolić }  
{ pozycja | pozycja }  
{ praca | praca }  
{ pracowac | pracować }  
{ pracownik | pracownik }  
{ prad | prąd }  
{ pragnac | pragnąć }  
{ pragnienie | pragnienie }  
{ praktyka | praktyka }  
{ prasa | prasa }  
{ prawda | prawda }  
{ prawdopodobnie | prawdopodobnie }  
{ prawdziwy | prawdziwy }  
{ prawie | prawie }  
{ prawny | prawny }  
{ prawo | prawo }  
{ prawy | prawy }  
{ predko | prędko }  
{ predkosc | prędkość }  
{ prezent | prezent }  
{ prezydent | prezydent }  
{ proba | próba }  
{ problem | problem }  
{ probowac | próbować }  
{ procent | procent }  
{ proces | proces }  
{ procz | prócz }  
{ produkcja | produkcja }  
{ produkowac | produkować }  
{ produkt | produkt }  
{ profesor | profesor }  
{ program | program }  
{ projekt | projekt }  
{ promien | promień }  
{ prosic | prosić }  
{ prosto | prosto }  
{ prostu | prostu }  
{ prosty | prosty }  
{ prostytutka | prostytutka }  
{ prosze | proszę }  
{ prowadzic | prowadzić }  
{ prowincja | prowincja }  
{ prywatny | prywatny }  
{ przebywac | przebywać }  
{ przechodzic | przechodzić }  
{ przeciez | przecież }  
{ przeciw | przeciw }  
{ przeciwko | przeciwko }  
{ przeciwnie | przeciwnie }  
{ przeciwnik | przeciwnik }  
{ przeciwny | przeciwny }  
{ przed | przed }  
{ przede | przede }  
{ przedmiot | przedmiot }  
{ przedsiebiorstwo | przedsiębiorstwo }  
{ przedstawiac | przedstawiać }  
{ przedstawiciel | przedstawiciel }  
{ przedstawienie | przedstawienie }  
{ przedtem | przedtem }  
{ przejaw | przejaw }  
{ przejsc | przejść }  
{ przejscie | przejście }  
{ przekonac | przekonać }  
{ przemysl | przemysł }  
{ przepis | przepis }  
{ przeprowadzac | przeprowadzać }  
{ przerwa | przerwa }  
{ przestac | przestać }  
{ przestepstwo | przestępstwo }  
{ przestrzen | przestrzeń }  
{ przeszkoda | przeszkoda }  
{ przeszlosc | przeszłość }  
{ przewaznie | przeważnie }  
{ przez | przez }  
{ przeznaczyc | przeznaczyć }  
{ przezyc | przeżyć }  
{ przy | przy }  
{ przybyc | przybyć }  
{ przychodzic | przychodzić }  
{ przyczyna | przyczyna }  
{ przygotowac | przygotować }  
{ przygotowywac | przygotowywać }  
{ przyjac | przyjąć }  
{ przyjaciel | przyjaciel }  
{ przyjazn | przyjaźń }  
{ przyjechac | przyjechać }  
{ przyjecie | przyjęcie }  
{ przyjemnosc | przyjemność }  
{ przyjemny | przyjemny }  
{ przyjmowac | przyjmować }  
{ przyjsc | przyjść }  
{ przyklad | przykład }  
{ przykro | przykro }  
{ przynajmniej | przynajmniej }  
{ przyniesc | przynieść }  
{ przynosic | przynosić }  
{ przypadek | przypadek }  
{ przypominac | przypominać }  
{ przypomniec | przypomnieć }  
{ przyprawa | przyprawa }  
{ przyrzad | przyrząd }  
{ przyszlosc | przyszłość }  
{ przyszly | przyszły }  
{ przyznac | przyznać }  
{ psychiczny | psychiczny }  
{ pszczola | pszczoła }  
{ ptak | ptak }  
{ publiczny | publiczny }  
{ pulkownik | pułkownik }  
{ punkt | punkt }  
{ pusty | pusty }  
{ pustynia | pustynia }  
{ puszka | puszka }  
{ pytac | pytać }  
{ pytanie | pytanie }  
{ rachunek | rachunek }  
{ rad | rad }  
{ rada | rada }  
{ radio | radio }  
{ radiowy | radiowy }  
{ radosc | radość }  
{ rak | rak }  
{ ramie | ramię }  
{ rana | rana }  
{ rano | rano }  
{ rasa | rasa }  
{ raz | raz }  
{ razem | razem }  
{ razy | razy }  
{ reakcja | reakcja }  
{ region | region }  
{ regula | reguła }  
{ rejon | rejon }  
{ reka | ręka }  
{ relacja | relacja }  
{ religia | religia }  
{ religijny | religijny }  
{ republika | republika }  
{ restauracja | restauracja }  
{ reszta | reszta }  
{ rezultat | rezultat }  
{ robic | robić }  
{ robota | robota }  
{ robotnik | robotnik }  
{ rodowity | rodowity }  
{ rodzaj | rodzaj }  
{ rodzic | rodzic }  
{ rodzina | rodzina }  
{ rodzinny | rodzinny }  
{ rog | róg }  
{ rok | rok }  
{ rola | rola }  
{ rolnik | rolnik }  
{ rosja | Rosja }  
{ roslina | roślina }  
{ rosnac | rosnąć }  
{ rosyjski | rosyjski }  
{ rower | rower }  
{ rownie | równie }  
{ rowniez | również }  
{ rownoczesnie | równocześnie }  
{ rowny | równy }  
{ roza | róża }  
{ rozdzial | rozdział }  
{ rozkaz | rozkaz }  
{ rozmawiac | rozmawiać }  
{ rozmiar | rozmiar }  
{ rozmowa | rozmowa }  
{ roznica | różnica }  
{ rozny | różny }  
{ rozowy | różowy }  
{ rozpoczac | rozpocząć }  
{ rozumiec | rozumieć }  
{ rozwiazanie | rozwiązanie }  
{ rozwoj | rozwój }  
{ ruch | ruch }  
{ rumunia | Rumunia }  
{ ruszyc | ruszyć }  
{ ryba | ryba }  
{ rynek | rynek }  
{ rysunek | rysunek }  
{ ryz | ryż }  
{ ryzyko | ryzyko }  
{ rzad | rząd }  
{ rzadki | rzadki }  
{ rzadko | rzadko }  
{ rzadzic | rządzić }  
{ rzecz | rzecz }  
{ rzeczownik | rzeczownik }  
{ rzeczywiscie | rzeczywiście }  
{ rzeczywistosc | rzeczywistość }  
{ rzeka | rzeka }  
{ rzucac | rzucać }  
{ rzucic | rzucić }  
{ rzym | Rzym }  
{ rzymski | rzymski }  
{ sa | są }  
{ sad | sąd }  
{ sadowy | sądowy }  
{ sadzic | sądzić }  
{ sala | sala }  
{ sam | sam }  
{ samica | samica }  
{ samiec | samiec }  
{ samochod | samochód }  
{ samochodowy | samochodowy }  
{ samolot | samolot }  
{ sasiad | sąsiad }  
{ scena | scena }  
{ schody | schody }  
{ sciana | ściana }  
{ sedzia | sędzia }  
{ seks | seks }  
{ seksualny | seksualny }  
{ sen | sen }  
{ sens | sens }  
{ ser | ser }  
{ serce | serce }  
{ serdecznie | serdecznie }  
{ sie | się }  
{ siebie | siebie }  
{ siec | sieć }  
{ siedem | siedem }  
{ siedemdziesiat | siedemdziesiąt }  
{ siedziba | siedziba }  
{ siedziec | siedzieć }  
{ sierpien | sierpień }  
{ sierzant | sierżant }  
{ sila | siła }  
{ silnik | silnik }  
{ silny | silny }  
{ siodmy | siódmy }  
{ siostra | siostra }  
{ skad | skąd }  
{ skala | skala }  
{ sklad | skład }  
{ skladac | składać }  
{ skladnik | składnik }  
{ sklep | sklep }  
{ sklonnosc | skłonność }  
{ skonczyc | skończyć }  
{ skora | skóra }  
{ skoro | skoro }  
{ skrzydlo | skrzydło }  
{ skutek | skutek }  
{ slabo | słabo }  
{ slaby | słaby }  
{ slad | ślad }  
{ slodki | słodki }  
{ slon | słoń }  
{ slonce | słońce }  
{ sloneczny | słoneczny }  
{ slowacja | Słowacja }  
{ slowacki | słowacki }  
{ slownik | słownik }  
{ slowo | słowo }  
{ slub | ślub }  
{ sluchac | słuchać }  
{ slusznie | słusznie }  
{ sluzba | służba }  
{ sluzyc | służyć }  
{ slychac | słychać }  
{ slyszec | słyszeć }  
{ smak | smak }  
{ smiac | śmiać }  
{ smiech | śmiech }  
{ smierc | śmierć }  
{ smutek | smutek }  
{ smutny | smutny }  
{ sniadanie | śniadanie }  
{ snieg | śnieg }  
{ soba | sobą }  
{ sobie | sobie }  
{ sobota | sobota }  
{ sok | sok }  
{ sol | sól }  
{ sos | sos }  
{ sowa | sowa }  
{ spac | spać }  
{ spadac | spadać }  
{ spadek | spadek }  
{ spasc | spaść }  
{ specjalista | specjalista }  
{ specjalnie | specjalnie }  
{ specjalny | specjalny }  
{ spiewac | śpiewać }  
{ spod | spód }  
{ spodnie | spodnie }  
{ spodziewac | spodziewać }  
{ spojrzec | spojrzeć }  
{ spojrzenie | spojrzenie }  
{ spokoj | spokój }  
{ spokojnie | spokojnie }  
{ spokojny | spokojny }  
{ spoleczenstwo | społeczeństwo }  
{ spoleczny | społeczny }  
{ spor | spór }  
{ sporo | sporo }  
{ sport | sport }  
{ sportowy | sportowy }  
{ sposob | sposób }  
{ sposrod | spośród }  
{ spotkac | spotkać }  
{ spotkanie | spotkanie }  
{ spowodowac | spowodować }  
{ sprawa | sprawa }  
{ sprawdzic | sprawdzić }  
{ sprawiac | sprawiać }  
{ sprobowac | spróbować }  
{ sprzed | sprzed }  
{ sprzedawac | sprzedawać }  
{ sprzedaz | sprzedaż }  
{ sprzet | sprzęt }  
{ srebrny | srebrny }  
{ srebro | srebro }  
{ sredni | średni }  
{ sredniowieczny | średniowieczny }  
{ sroda | środa }  
{ srodek | środek }  
{ srodkowy | środkowy }  
{ srodowisko | środowisko }  
{ srodziemne | śródziemne }  
{ ssak | ssak }  
{ stac | stać }  
{ stacja | stacja }  
{ stad | stąd }  
{ stado | stado }  
{ stale | stale }  
{ staly | stały }  
{ stamtad | stamtąd }  
{ stan | stan }  
{ stanie | stanie }  
{ stanowczo | stanowczo }  
{ stanowic | stanowić }  
{ stanowisko | stanowisko }  
{ stany | Stany }  
{ starac | starać }  
{ starannie | starannie }  
{ starozytny | starożytny }  
{ stary | stary }  
{ starzec | starzec }  
{ statek | statek }  
{ staw | staw }  
{ stawac | stawać }  
{ stawiac | stawiać }  
{ sto | sto }  
{ stol | stół }  
{ stolica | stolica }  
{ stopa | stopa }  
{ stopien | stopień }  
{ stopniowo | stopniowo }  
{ stosowac | stosować }  
{ stosunek | stosunek }  
{ stowarzyszenie | stowarzyszenie }  
{ strach | strach }  
{ stracic | stracić }  
{ strasznie | strasznie }  
{ straszny | straszny }  
{ strata | strata }  
{ straznik | strażnik }  
{ strefa | strefa }  
{ stroj | strój }  
{ strona | strona }  
{ struktura | struktura }  
{ strumien | strumień }  
{ student | student }  
{ studia | studia }  
{ studiowac | studiować }  
{ stworzyc | stworzyć }  
{ styczen | styczeń }  
{ styl | styl }  
{ substancja | substancja }  
{ suchy | suchy }  
{ sukces | sukces }  
{ sukienka | sukienka }  
{ suma | suma }  
{ surowy | surowy }  
{ sw. | św. }  
{ swiadczyc | świadczyć }  
{ swiadomosc | świadomość }  
{ swiat | świat }  
{ swiatlo | światło }  
{ swiatynia | świątynia }  
{ swieca | świeca }  
{ swiecic | świecić }  
{ swieta | święta }  
{ swietnie | świetnie }  
{ swieto | święto }  
{ swiety | święty }  
{ swiezo | świeżo }  
{ swiezy | świeży }  
{ swinia | świnia }  
{ swobodnie | swobodnie }  
{ swoj | swój }  
{ swoje | swoje }  
{ sygnal | sygnał }  
{ sylaba | sylaba }  
{ symbol | symbol }  
{ syn | syn }  
{ system | system }  
{ sytuacja | sytuacja }  
{ szacunek | szacunek }  
{ szanowny | szanowny }  
{ szary | szary }  
{ szczegolnie | szczególnie }  
{ szczegolny | szczególny }  
{ szczerze | szczerze }  
{ szczescie | szczęście }  
{ szczesliwy | szczęśliwy }  
{ szczyt | szczyt }  
{ szef | szef }  
{ szereg | szereg }  
{ szeroki | szeroki }  
{ szeroko | szeroko }  
{ szesc | sześć }  
{ szescdziesiat | sześćdziesiąt }  
{ szklanka | szklanka }  
{ szklo | szkło }  
{ szkoda | szkoda }  
{ szkodliwy | szkodliwy }  
{ szkola | szkoła }  
{ szkolny | szkolny }  
{ szlachetny | szlachetny }  
{ szosty | szósty }  
{ szpital | szpital }  
{ sztuczny | sztuczny }  
{ sztuka | sztuka }  
{ szukac | szukać }  
{ szum | szum }  
{ szwajcaria | Szwajcaria }  
{ szwecja | Szwecja }  
{ szwedzki | szwedzki }  
{ szybki | szybki }  
{ szybko | szybko }  
{ szyja | szyja }  
{ ta | ta }  
{ tablica | tablica }  
{ tajemnica | tajemnica }  
{ tak | tak }  
{ taki | taki }  
{ takze | także }  
{ talerz | talerz }  
{ tam | tam }  
{ tamten | tamten }  
{ tanczyc | tańczyć }  
{ tani | tani }  
{ taniec | taniec }  
{ tarcza | tarcza }  
{ tato | tato }  
{ te | te }  
{ teatr | teatr }  
{ technika | technika }  
{ tego | tego }  
{ tekst | tekst }  
{ telefon | telefon }  
{ telewizja | telewizja }  
{ telewizyjny | telewizyjny }  
{ temat | temat }  
{ temperatura | temperatura }  
{ temu | temu }  
{ ten | ten }  
{ teoria | teoria }  
{ teraz | teraz }  
{ teren | teren }  
{ termin | termin }  
{ terytorium | terytorium }  
{ tez | też }  
{ tkanina | tkanina }  
{ tlum | tłum }  
{ tlumaczyc | tłumaczyć }  
{ tluszcz | tłuszcz }  
{ to | to }  
{ tom | tom }  
{ ton | ton }  
{ toponim | toponim }  
{ tor | tor }  
{ totez | toteż }  
{ towar | towar }  
{ towarzystwo | towarzystwo }  
{ tracic | tracić }  
{ tradycja | tradycja }  
{ tradycyjny | tradycyjny }  
{ traktowac | traktować }  
{ transport | transport }  
{ trawa | trawa }  
{ tresc | treść }  
{ troche | trochę }  
{ trudno | trudno }  
{ trudnosc | trudność }  
{ trudny | trudny }  
{ trwac | trwać }  
{ trwaly | trwały }  
{ trzeba | trzeba }  
{ trzeci | trzeci }  
{ trzej | trzej }  
{ trzy | trzy }  
{ trzydziesci | trzydzieści }  
{ trzydziesty | trzydziesty }  
{ trzymac | trzymać }  
{ tu | tu }  
{ turcja | Turcja }  
{ turecki | turecki }  
{ tutaj | tutaj }  
{ tuz | tuż }  
{ twardy | twardy }  
{ twarz | twarz }  
{ twoj | twój }  
{ tworzyc | tworzyć }  
{ ty | ty }  
{ tydzien | tydzień }  
{ tyl | tył }  
{ tyle | tyle }  
{ tylko | tylko }  
{ tymczasem | tymczasem }  
{ typ | typ }  
{ typowy | typowy }  
{ tysiac | tysiąc }  
{ tyton | tytoń }  
{ tytul | tytuł }  
{ u | u }  
{ ubogi | ubogi }  
{ ubranie | ubranie }  
{ ucha | ucha }  
{ ucho | ucho }  
{ uchodzic | uchodzić }  
{ uciec | uciec }  
{ uciekac | uciekać }  
{ uczen | uczeń }  
{ uczuc | czuć }  
{ uczucie | uczucie }  
{ uczyc | uczyć }  
{ uczynic | uczynić }  
{ udac | udać }  
{ uderzac | uderzać }  
{ uderzenie | uderzenie }  
{ uderzyc | uderzyć }  
{ udzial | udział }  
{ uklad | układ }  
{ ukraina | Ukraina }  
{ ukrainski | ukraiński }  
{ ukryc | ukryć }  
{ ulegac | ulegać }  
{ ulica | ulica }  
{ umiec | umieć }  
{ umiejetnosc | umiejętność }  
{ umiescic | umieścić }  
{ umieszczac | umieszczać }  
{ umowa | umowa }  
{ umozliwiac | umożliwiać }  
{ umrzec | umrzeć }  
{ umysl | umysł }  
{ unia | Unia }  
{ uniwersytet | uniwersytet }  
{ upadek | upadek }  
{ uprawiac | uprawiać }  
{ uprzejmie | uprzejmie }  
{ urodzenie | urodzenie }  
{ urodzic | urodzić }  
{ urodziny | urodziny }  
{ urzad | urząd }  
{ urzadzenie | urządzenie }  
{ urzednik | urzędnik }  
{ urzednik | urzędnik }
{ usa | USA }
{ usluga | usługa }
{ uslyszec | usłyszeć }
{ usmiech | uśmiech }
{ usta | usta }
{ ustawa | ustawa }
{ usuwac | usuwać }
{ utrzymac | utrzymać }
{ utrzymywac | utrzymywać }
{ utwor | utwór }
{ uwaga | uwaga }
{ uwazac | uważać }
{ uwaznie | uważnie }
{ uwierzyc | uwierzyć }
{ uwolnic | uwolnić }
{ uznawac | uznawać }
{ uzyc | użyć }
{ uzycie | użycie }
{ uzyskac | uzyskać }
{ uzytkownik | użytkownik }
{ uzywac | używać }
{ w | w }
{ wada | wada }
{ waga | waga }
{ wakacje | wakacje }
{ walczyc | walczyć }
{ walka | walka }
{ waluta | waluta }
{ warstwa | warstwa }
{ warszawa | Warszawa }
{ wartosc | wartość }
{ warunek | warunek }
{ warzywo | warzywo }
{ waski | wąski }
{ wasz | wasz }
{ watpliwosc | wątpliwość }
{ waz | wąż }
{ wazny | ważny }
{ wbrew | wbrew }
{ wcale | wcale }
{ wchodzic | wchodzić }
{ wciaz | wciąż }
{ wczesnie | wcześnie }
{ wczesny | wczesny }
{ wczoraj | wczoraj }
{ wczoraj | wczoraj }
{ wdol | wdół }
{ we | we }
{ wedle | wedle }
{ wedlug | według }
{ wegiel | węgiel }
{ wegry | Węgry }
{ wejsc | wejść }
{ wejscie | wejście }
{ wesolo | wesoło }
{ wesoly | wesoły }
{ wewnatrz | wewnątrz }
{ wewnetrzny | wewnętrzny }
{ wezwanie | wezwanie }
{ wgore | w górę }
{ wiadomo | wiadomo }
{ wiadomosc | wiadomość }
{ wiara | wiara }
{ wiatr | wiatr }
{ widac | widać }
{ widocznie | widocznie }
{ widoczny | widoczny }
{ widok | widok }
{ widziec | widzieć }
{ wiec | więc }
{ wiecej | więcej }
{ wieczor | wieczór }
{ wieczorem | wieczorem }
{ wiedza | wiedza }
{ wiedziec | wiedzieć }
{ wiek | wiek }
{ wiekszosc | większość }
{ wiekszy | większy }
{ wiele | wiele }
{ wielka | wielka }
{ wielki | wielki }
{ wielkosc | wielkość }
{ wierny | wierny }
{ wiersz | wiersz }
{ wierzyc | wierzyć }
{ wies | wieś }
{ wieza | wieża }
{ wiezienie | więzienie }
{ wilk | wilk }
{ wina | wina }
{ winien | winien }
{ wino | wino }
{ wioska | wioska }
{ wiosna | wiosna }
{ wisiec | wisieć }
{ wizyta | wizyta }
{ wkrotce | wkrótce }
{ wladca | władca }
{ wladza | władza }
{ wlasciciel | właściciel }
{ wlasciwie | właściwie }
{ wlasciwosc | właściwość }
{ wlasciwy | właściwy }
{ wlasnie | właśnie }
{ wlasnosc | własność }
{ wlasny | własny }
{ wlochy | Włochy }
{ wlos | włos }
{ wloski | włoski }
{ wlosy | włosy }
{ wlozyc | włożyć }
{ wnetrze | wnętrze }
{ wniosek | wniosek }
{ wobec | wobec }
{ woda | woda }
{ wodka | wódka }
{ wodny | wodny }
{ wodz | wódz }
{ wojenny | wojenny }
{ wojna | wojna }
{ wojsko | wojsko }
{ wojskowy | wojskowy }
{ wokol | wokół }
{ wola | wola }
{ wolno | wolno }
{ wolnosc | wolność }
{ wolny | wolny }
{ wowczas | wówczas }
{ woz | wóz }
{ wpasc | wpaść }
{ wplyw | wpływ }
{ wpol | wpół }
{ wprawdzie | wprawdzie }
{ wprost | wprost }
{ wprowadzac | wprowadzać }
{ wracac | wracać }
{ wraz | wraz }
{ wrazenie | wrażenie }
{ wrecz | wręcz }
{ wreszcie | wreszcie }
{ wrocic | wrócić }
{ wrog | wróg }
{ wrogi | wrogi }
{ wrogosc | wrogość }
{ wrzesien | wrzesień }
{ wschod | wschód }
{ wschodni | wschodni }
{ wskazywac | wskazywać }
{ wspaniale | wspaniale }
{ wspanialy | wspaniały }
{ wspolczesny | współczesny }
{ wspolnota | wspólnota }
{ wspolny | wspólny }
{ wspomnienie | wspomnienie }
{ wsrod | wśród }
{ wstyd | wstyd }
{ wszak | wszak }
{ wszakze | wszakże }
{ wszedzie | wszędzie }
{ wszelki | wszelki }
{ wszyscy | wszyscy }
{ wszystek | wszystek }
{ wszystkie | wszystkie }
{ wszystko | wszystko }
{ wtedy | wtedy }
{ wtorek | wtorek }
{ wuj | wuj }
{ wujek | wujek }
{ wy | wy }
{ wybierac | wybierać }
{ wybitny | wybitny }
{ wybor | wybór }
{ wybory | wybory }
{ wybrac | wybrać }
{ wybrzeze | wybrzeże }
{ wybuch | wybuch }
{ wychodzic | wychodzić }
{ wycieczka | wycieczka }
{ wydac | wydać }
{ wydarzenie | wydarzenie }
{ wydawac | wydawać }
{ wyglad | wygląd }
{ wygladac | wyglądać }
{ wygodnie | wygodnie }
{ wygrac | wygrać }
{ wyjasnic | wyjaśnić }
{ wyjatkowo | wyjątkowo }
{ wyjsc | wyjść }
{ wyjscie | wyjście }
{ wykonac | wykonać }
{ wykonanie | wykonanie }
{ wykonywac | wykonywać }
{ wykonywanie | wykonywanie }
{ wykorzystac | wykorzystać }
{ wykorzystywac | wykorzystywać }
{ wylacznie | wyłącznie }
{ wymagac | wymagać }
{ wynik | wynik }
{ wyniku | wyniku }
{ wynosic | wynosić }
{ wyobrazic | wyobrazić }
{ wypadek | wypadek }
{ wypowiedz | wypowiedź }
{ wyraz | wyraz }
{ wyrazac | wyrażać }
{ wyrazenie | wyrażenie }
{ wyraznie | wyraźnie }
{ wyrob | wyrób }
{ wyrok | wyrok }
{ wyscig | wyścig }
{ wysilek | wysiłek }
{ wyslac | wysłać }
{ wysoki | wysoki }
{ wysoko | wysoko }
{ wysokosc | wysokość }
{ wyspa | wyspa }
{ wystarczajaco | wystarczająco }
{ wystawa | wystawa }
{ wystepowac | występować }
{ wysylac | wysyłać }
{ wytlumaczyc | wytłumaczyć }
{ wytwarzac | wytwarzać }
{ wywodzic | wywodzić }
{ wywolac | wywołać }
{ wywolywac | wywoływać }
{ wzdluz | wzdłuż }
{ wzgledem | względem }
{ wzgorze | wzgórze }
{ wziac | wziąć }
{ wzor | wzór }
{ wzrok | wzrok }
{ wzrost | wzrost }
{ z | z }
{ za | za }
{ zab | ząb }
{ zaba | żaba }
